"person_id","data","first_name","last_name","age","member_party","nominate_party","dist_no","party_no","party_name","list_no","titles","abs_votes","pct_votes","rank","mandate","municipality_id","highest_title","gender","row_id","approx_birth_year","occupation","residence","name"
70112,"municipal_1994","Bohumil","Andrlík",45,"KSČM","KSČM",NA,2,"Sdružení KSČM, NK",8,"",251,6.79,4,FALSE,571911,"No title","Male",70112,1949,NA,NA,NA
70112,"municipal_2002","Bohumil","Andrlík",53,"BEZPP","NK",NA,3,"Sdružení KSČM a NK",13,"",162,6.1,9,FALSE,571911,"No title","Male",91145,1949,NA,NA,NA
70112,"municipal_2006","Bohumil","Andrlík",57,"BEZPP","NK",NA,NA,"
Sdružení KSČM, NK
",14,"",135,5.65,10,FALSE,571911,"No title","Male",38637,1949,"důchodce","Libáň",NA
70146,"municipal_1994","Pavel","Bakeš",56,"BEZPP","KDU-ČSL",NA,5,"Křesť.a dem.unie-Čs.str.lidová",11,"",137,4.98,8,FALSE,571911,"No title","Male",70146,1938,NA,NA,NA
289608,"municipal_2002","Josef","Bakeš",41,"BEZPP","ČSSD",NA,1,"Česká str.sociálně demokrat.",12,"",88,4.16,9,FALSE,571911,"No title","Male",91114,1961,NA,NA,NA
352646,"municipal_2006","Roman","Bakeš",43,"BEZPP","NK",NA,NA,"
SNK Nasavrcka
",13,"",33,3.83,12,FALSE,571911,"No title","Male",38651,1963,"školník","Nasavrky - Ochoz",NA
442940,"municipal_2010","Petr","Bárta",58,"BEZPP","ČSSD",NA,NA,"
Česká str.sociálně demokrat.
",15,"",50,2.98,13,FALSE,571911,"No title","Male",46870,1952,"dělník","Nasavrky","Bárta Petr"
657853,"municipal_2018","Martin","Bartoš",50,"BEZPP","KSČM",1,47,"Komunistická strana Čech a Moravy",6,"",0,0,NA,FALSE,571911,"No title","Male",119795,1968,NA,NA,"Bartoš Martin"
70104,"municipal_1994","Josefa","Beránková",70,"BEZPP","ČSSD",NA,1,"Česká str.sociálně demokrat.",3,"",48,13.91,NA,FALSE,571911,"No title","Female",70104,1924,NA,NA,NA
195930,"municipal_1998","Ivan","Blažek",22,"US-DEU","US-DEU",NA,3,"Unie svobody",1,"",107,6.45,1,FALSE,571911,"No title","Male",85004,1976,NA,NA,NA
195930,"municipal_2002","Ivan","Blažek",26,"US-DEU","US-DEU",NA,4,"Koalice KDU-ČSL, US-DEU",5,"",127,6.25,4,FALSE,571911,"No title","Male",91152,1976,NA,NA,NA
195930,"municipal_2010","Ivan","Blažek",34,"BEZPP","NK",NA,NA,"
SNK Náš region Nasavrcko
",4,"Ing.",238,11.28,1,TRUE,571911,"Master","Male",46934,1976,"ekonom","Nasavrky","Blažek Ivan Ing."
538818,"municipal_2014","Lukáš","Blažek",29,"ODS","PATRIOTI",NA,NA,"
PATRIOTI
",5,"Mgr.",101,5.24,5,FALSE,571911,"Master","Male",44754,1985,"právní poradce","Nasavrky","Blažek Lukáš Mgr."
538822,"municipal_2014","Miroslav","Blažek",54,"BEZPP","PATRIOTI",NA,NA,"
PATRIOTI
",12,"",77,3.99,9,FALSE,571911,"No title","Male",44761,1960,"technik","Nasavrky","Blažek Miroslav"
195930,"municipal_2018","Ivan","Blažek",42,"TOP 09","PATRIOTI",1,776,"PATRIOTI",5,"",0,0,NA,FALSE,571911,"No title","Male",119835,1976,NA,NA,"Blažek Ivan"
538818,"municipal_2018","Lukáš","Blažek",33,"ODS","PATRIOTI",1,776,"PATRIOTI",6,"",0,0,NA,FALSE,571911,"No title","Male",119836,1985,NA,NA,"Blažek Lukáš"
352633,"municipal_2006","Ludmila","Blažková",51,"BEZPP","NK",NA,NA,"
Sdružení KSČM, NK
",10,"",93,3.89,6,FALSE,571911,"No title","Female",38633,1955,"účetní","Nasavrky",NA
195935,"municipal_1998","Karel","Boček",50,"BEZPP","US-DEU",NA,3,"Unie svobody",7,"",102,6.15,4,FALSE,571911,"No title","Male",85010,1948,NA,NA,NA
195935,"municipal_2002","Karel","Boček",54,"BEZPP","US-DEU",NA,4,"Koalice KDU-ČSL, US-DEU",13,"",99,4.87,10,FALSE,571911,"No title","Male",91160,1948,NA,NA,NA
