"station_id","song"
"radiozurnal","ORCHESTR NÁRODNÍHO DIVADLA - ČESKÁ STÁTNÍ HYMNA"
"radiozurnal","ABBA - HAPPY NEW YEAR"
"radiozurnal","KRYŠTOF - TAK POJĎ HLEDAT BŘEH"
"radiozurnal","DAVID GUETTA,  SIA - FLAMES"
"radiozurnal","PEHA - DEŇ MEDZI NEDELOU A PONDELKOM"
"radiozurnal","AEROSMITH - CRAZY"
"radiozurnal","ED SHEERAN - SHAPE OF YOU"
"radiozurnal","WANASTOWI VJECY - JEDINÁ"
"radiozurnal","X AMBASSADORS - RENEGADES"
"radiozurnal","R.E.M. - THE ONE I LOVE"
"radiozurnal","LOST FREQUENCIES,  ZONDERLING - CRAZY"
"radiozurnal","PAUL McCARTNEY - YOUNG BOY"
"radiozurnal","XINDL X - V BLBÝM VĚKU"
"radiozurnal","MUMFORD & SONS - GUIDING LIGHT"
"radiozurnal","RIGHTEOUS BROTHERS - UNCHAINED MELODY"
"radiozurnal","LUIS FONSI,  DADDY YANKEE - DESPACITO"
"radiozurnal","SLADE - MY OH MY"
"radiozurnal","CALUM SCOTT - WHAT I MISS MOST"
"radiozurnal","UB 40 - KINGSTON TOWN"
"radiozurnal","MAREK ZTRACENÝ - VLASTNÍ SVĚT"
"radiozurnal","COOLIO - C U WHEN U GET THERE"
"radiozurnal","NICKY JAM,  ENRIQUE INGLESIAS - EL PERDÓN"
"radiozurnal","MICHAEL JACKSON - REMEMBER THE TIME"
"radiozurnal","PETER BIČ PROJECT - WHERE DID YOU GO"
"radiozurnal","IVAN HLAS - TIP,TA,DÝDA...(KARLÍN)"
"radiozurnal","FRANS - IF I WERE SORRY"
"radiozurnal","KATRINA & WAVES - LOVE SHINE A LIGHT"
"radiozurnal","KODALINE - FOLLOW YOUR FIRE"
"radiozurnal","JENNIFER RUSH - DESTINY"
"radiozurnal","MATT SIMONS - CATCH & RELEASE"
"radiozurnal","EVERYTHING BUT THE GIRL - MISSING"
"radiozurnal","ONE REPUBLIC - I LIVED"
"radiozurnal","COLESKE - TAKE ME WHERE SUN IS SHINING"
"radiozurnal","TRAVIS - CLOSER"
"radiozurnal","MIROSLAV ŽBIRKA - BALADA O POLNÝCH VTÁKOCH"
"radiozurnal","P!NK - BEAUTIFUL TRAUMA"
"radiozurnal","GEORGE EZRA - BLAME IT ON ME"
"radiozurnal","MARTIKA - TOY SOLDIERS"
"radiozurnal","IMAGINE DRAGONS - NEXT TO ME"
"radiozurnal","DAN BÁRTA - PÍSEŇ HRABOŠE"
"radiozurnal","NICK CAVE, KYLIE MINOGUE - WHERE THE WILD ROSES GROW"
"radiozurnal","JAMES BLUNT - 1973"
"radiozurnal","PHIL COLLINS - DANCE INTO THE LIGHT"
"radiozurnal","NICO SANTOS - ROOFTOP"
"radiozurnal","CELINE DION - ALL BY MYSELF"
"radiozurnal","FEARGAL SHARKEY - A GOOD HEART"
"radiozurnal","HIM - JOIN ME"
"radiozurnal","JASON MRAZ - HAVE IT ALL"
"radiozurnal","MICHAL PROKOP, FRAMUS 5 - BITVA O KARLŮV MOST"
"radiozurnal","SEPTEMBER - CRY FOR YOU"
"radiozurnal","NEW RADICALS - YOU GET WHAT YOU GIVE"
"radiozurnal","NELLY FURTADO - SAY IT RIGHT"
"radiozurnal","NIGHTWORK - SLUNCE V DUŠI"
"radiozurnal","JOAN OSBORNE - ONE OF US"
"radiozurnal","JOHN FARNHAM - YOU'RE THE VOICE"
"radiozurnal","KRISTINA - PRI OLTÁRI"
"radiozurnal","BEE GEES - SECRET LOVE"
"radiozurnal","SUNRISE AVENUE - DREAMER"
"radiozurnal","PETER GABRIEL - THE SOLSBURY HILL"
"radiozurnal","JANA KIRSCHNER - POKOJ V DUŠI"
"radiozurnal","AVICII - ADDICTED TO YOU"
"radiozurnal","INXS - BEAUTIFUL GIRL"
"radiozurnal","ZA100LET - ZA 100 LET"
"radiozurnal","JON BON JOVI - QUEEN OF NEW ORLEANS"
"radiozurnal","ADELE - SET FIRE TO THE RAIN"
"radiozurnal","VANESSA MAE - DESTINY"
"radiozurnal","SCARLET - INDEPENDENT LOVE SONG"
"radiozurnal","BASTILLE - QUARTER PAST MIDNIGHT"
"radiozurnal","DIRE STRAITS - SULTANS OF SWINGS"
"radiozurnal","KRYŠTOF - LOLITA"
"radiozurnal","BEN HAENOW,  KELLY CLARKSON - SECOND HAND HEART"
"radiozurnal","SEAL - CRAZY"
"radiozurnal","IMAGINE DRAGONS - WHATEVER IT TAKES"
"radiozurnal","JANEK LEDECKÝ - PRÁVĚ TEĎ"
"radiozurnal","LENNY - STANDING AT THE CORNER OF YOUR HEART"
"radiozurnal","ALESSIA CARA - SCARS TO YOUR BEAUTIFUL"
"radiozurnal","SOPHIE B. HAWKINS - RIGHT BESIDE YOU"
"radiozurnal","ED SHEERAN,  BEYONCÉ - PERFECT"
"radiozurnal","VAN HALEN - JUMP"
"radiozurnal","ANETA LANGEROVÁ - SKVĚLEJ NÁPAD"
"radiozurnal","P!NK - TRY"
"radiozurnal","DEF LEPPARD - TWO STEPS BEHIND"
"radiozurnal","CHINASKI - POTKAL JSEM TĚ PO LETECH"
"radiozurnal","MIKE OLDFIELD, MAGGIE REILLY - TO FRANCE"
"radiozurnal","ALOK,  BRUNO MARTINI,  ZEEBA - HEAR ME NOW"
"radiozurnal","LARA FABIAN - I WILL LOVE AGAIN"
"radiozurnal","SUPPORT LESBIENS - BRIGHTER DAY"
